
황사일수
지점/지역명 : 서울

평균 황사일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0.4,0.4,2.2,3.1,1.5,0.0,0.0,0.0,0.0,0.1,0.6,0.6,8.9
최근 10년,0.8,0.5,2.7,2.4,1.7,0.0,0.0,0.0,0.0,0.2,0.9,0.1,9.3
최근  5년,1.2,0.2,3.4,3.0,2.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,10.6
2015,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2
2016,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6
2017,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,4
2018,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,10
2020,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,7
2021,2.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3
2022,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8
2023,4.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1
2024,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11


평균 계절별 황사일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
평년,6.9,0.0,0.8,1.4
최근 10년,6.8,0.0,1.1,0.9
최근  5년,8.4,0.0,0.6,1.4
2015,10,0,0,0
2016,7,0,0,1
2017,6,0,3,0
2018,3,0,2,0
2019,0,0,3,1
2020,2,0,3,2
2021,12,0,0,0
2022,4,0,0,5
2023,15,0,0,0
2024,9,0,0,0
2025,0,0,0,0

